timestamp,CPU US,CPU SY,CPU ID,MEM USED,MEM BUFF,Stellar CPU%,Stellar MEM%,PGSQL CPU%,PGSQL MEM%
2021-05-17 18:12:39,2.5,1.0,0.3,10380.0,501.0,22.0,0.8,3.0,0.5
2021-05-17 18:12:40,2.1,1.0,0.1,10380.0,501.0,15.0,0.8,3.0,0.5
2021-05-17 18:12:41,3.2,0.9,0.4,10380.0,501.0,23.0,0.8,4.0,0.5
2021-05-17 18:12:42,5.2,1.5,0.2,10379.6,501.3,31.0,0.8,17.0,0.5
2021-05-17 18:12:43,1.4,0.5,0.3,10379.6,501.3,14.0,0.8,1.0,0.5
2021-05-17 18:12:44,1.4,0.5,0.3,10379.6,501.3,14.9,0.8,2.0,0.5
2021-05-17 18:18:14,5.8,0.8,0.8,10389.9,507.0,46.7,0.8,0.0,0.5
2021-05-17 18:18:15,1.0,0.1,0.4,10389.9,507.0,10.0,0.8,2.0,0.5
2021-05-17 18:18:16,1.4,0.5,0.1,10389.9,507.0,15.0,0.8,3.0,0.5
2021-05-17 18:18:17,1.3,0.1,0.0,10389.3,507.7,11.0,0.8,2.0,0.5
2021-05-17 18:18:18,1.1,0.5,0.0,10389.3,507.7,10.9,0.8,1.0,0.5
2021-05-17 18:18:19,5.1,0.9,0.6,10389.3,507.7,34.0,0.8,13.0,0.5
2021-05-17 18:18:20,3.5,1.0,0.1,10388.3,508.6,27.0,0.8,3.0,0.5
2021-05-17 18:18:21,2.6,0.4,0.0,10388.3,508.6,20.0,0.8,5.0,0.5
2021-05-17 18:18:22,1.3,0.4,0.0,10388.3,508.6,12.0,0.8,2.0,0.5
2021-05-17 18:18:23,0.9,0.2,0.0,10388.3,508.6,6.0,0.8,1.0,0.5
2021-05-17 18:18:24,4.3,0.4,0.1,10388.3,508.6,30.7,0.8,7.9,0.5
2021-05-17 18:18:25,2.7,1.0,6.6,10388.3,508.6,16.0,0.8,5.0,0.5
2021-05-17 18:18:26,2.0,0.9,0.5,10388.8,508.1,17.0,0.8,4.0,0.5
2021-05-17 18:18:27,1.7,0.6,0.0,10388.8,508.1,10.0,0.8,2.0,0.5
2021-05-17 18:18:28,1.5,0.9,0.0,10388.8,508.1,10.0,0.8,2.0,0.5
2021-05-17 18:18:29,1.6,0.3,0.4,10388.5,508.3,13.0,0.8,3.0,0.5
2021-05-17 18:18:30,3.6,0.6,0.4,10388.5,508.3,27.7,0.8,7.9,0.5
2021-05-17 18:18:31,2.5,0.8,0.0,10388.5,508.3,21.0,0.8,4.0,0.5
2021-05-17 18:18:32,1.3,0.3,0.3,10389.4,507.4,15.0,0.8,2.0,0.5
2021-05-17 18:18:33,1.5,0.5,0.0,10389.4,507.4,11.0,0.8,2.0,0.5
2021-05-17 18:18:34,1.1,0.5,0.1,10389.4,507.4,5.0,0.8,1.0,0.5
2021-05-17 18:18:35,5.8,0.5,0.5,10387.4,509.4,37.6,0.8,17.8,0.5
2021-05-17 18:18:36,4.3,0.8,0.4,10387.4,509.4,30.0,0.8,12.0,0.5
2021-05-17 18:18:37,1.5,0.5,0.5,10387.4,509.4,12.0,0.8,2.0,0.5
2021-05-17 18:18:38,1.6,0.3,0.1,10387.6,509.2,16.0,0.8,2.0,0.5
2021-05-17 18:18:39,1.1,0.6,0.0,10387.6,509.2,9.0,0.8,2.0,0.5
2021-05-17 18:18:40,1.6,0.5,0.0,10387.6,509.2,12.0,0.8,1.0,0.5
2021-05-17 18:18:41,3.5,0.6,1.3,10387.5,509.3,22.8,0.8,8.9,0.5
2021-05-17 18:18:42,2.9,0.8,0.3,10387.5,509.3,26.0,0.8,7.0,0.5
2021-05-17 18:18:43,1.1,0.3,0.0,10387.5,509.3,12.0,0.8,2.0,0.5
