timestamp,rx,tx
2021-05-26 20:40:00+02:00,238973528,237559927
2021-05-26 20:45:00+02:00,276714696,306671455
2021-05-26 20:50:00+02:00,284647346,298352590
2021-05-26 20:55:00+02:00,243760237,248734361
2021-05-26 21:00:00+02:00,248640177,255407110
2021-05-26 21:05:00+02:00,272886071,292339591
2021-05-26 21:10:00+02:00,247342048,258446728
2021-05-26 21:15:00+02:00,246909744,261283624
2021-05-26 21:20:00+02:00,276808467,303859151
2021-05-26 21:25:00+02:00,280112172,296065739
2021-05-26 21:30:00+02:00,262014546,276542606
2021-05-26 21:35:00+02:00,263258640,284531766
2021-05-26 21:40:00+02:00,252575278,277389878
2021-05-26 21:45:00+02:00,264579685,315649792
2021-05-26 21:50:00+02:00,254581633,303097002
2021-05-26 21:55:00+02:00,270030995,329743766
2021-05-26 22:00:00+02:00,248555508,285070628
2021-05-26 22:05:00+02:00,269693133,304962172
2021-05-26 22:10:00+02:00,253188927,289441519
2021-05-26 22:15:00+02:00,243774449,284010684
2021-05-26 22:20:00+02:00,289502321,350738910
2021-05-26 22:25:00+02:00,251662506,289069741
2021-05-26 22:30:00+02:00,318782835,402695298
2021-05-26 22:35:00+02:00,262139383,309291683
2021-05-26 22:40:00+02:00,257851011,277203724
2021-05-26 22:45:00+02:00,248273822,261262436
2021-05-26 22:50:00+02:00,265922173,285062009
2021-05-26 22:55:00+02:00,245241248,258962006
2021-05-26 23:00:00+02:00,247690211,264554542
2021-05-26 23:05:00+02:00,276031418,322932215
2021-05-26 23:10:00+02:00,253847352,275815860
2021-05-26 23:15:00+02:00,275440045,297005369
2021-05-26 23:20:00+02:00,273662598,319941773
2021-05-26 23:25:00+02:00,283517732,334947124
2021-05-26 23:30:00+02:00,253591395,260425520
2021-05-26 23:35:00+02:00,248630879,259374319
2021-05-26 23:40:00+02:00,239431649,254895227
2021-05-26 23:45:00+02:00,261929695,293874269
2021-05-26 23:50:00+02:00,297746375,331451027
2021-05-26 23:55:00+02:00,285620735,305248178
2021-05-27 00:00:00+02:00,246320773,258145427
2021-05-27 00:05:00+02:00,244125261,255306985
2021-05-27 00:10:00+02:00,262761833,284734180
2021-05-27 00:15:00+02:00,272344036,284737811
2021-05-27 00:20:00+02:00,241452426,249980988
2021-05-27 00:25:00+02:00,238252131,244909829
2021-05-27 00:30:00+02:00,240596341,249320114
2021-05-27 00:35:00+02:00,250150153,266031701
2021-05-27 00:40:00+02:00,256188822,290156737
2021-05-27 00:45:00+02:00,288302036,333562858
2021-05-27 00:50:00+02:00,239244404,252518843
2021-05-27 00:55:00+02:00,259681034,282913424
2021-05-27 01:00:00+02:00,254281505,278872703
2021-05-27 01:05:00+02:00,254881585,274975677
2021-05-27 01:10:00+02:00,253604869,263966594
2021-05-27 01:15:00+02:00,247359632,255516408
2021-05-27 01:20:00+02:00,247638813,253236054
2021-05-27 01:25:00+02:00,256779819,268338249
2021-05-27 01:30:00+02:00,257514332,274928154
2021-05-27 01:35:00+02:00,246591729,256720662
2021-05-27 01:40:00+02:00,261519432,280223809
2021-05-27 01:45:00+02:00,266295211,281591858
2021-05-27 01:50:00+02:00,255476763,289557025
2021-05-27 01:55:00+02:00,253997183,272054850
2021-05-27 02:00:00+02:00,310730667,357388957
2021-05-27 02:05:00+02:00,309752552,374286549
2021-05-27 02:10:00+02:00,278554729,305171403
2021-05-27 02:15:00+02:00,302485880,365802312
2021-05-27 02:20:00+02:00,240794614,237082540
2021-05-27 02:25:00+02:00,245993794,257010424
2021-05-27 02:30:00+02:00,243482830,248951802
2021-05-27 02:35:00+02:00,242621032,246522820
2021-05-27 02:40:00+02:00,258455458,273578687
2021-05-27 02:45:00+02:00,246957505,254541059
2021-05-27 02:50:00+02:00,239276183,250715436
2021-05-27 02:55:00+02:00,247571767,265378309
2021-05-27 03:00:00+02:00,234627670,250118870
2021-05-27 03:05:00+02:00,276909361,303200622
2021-05-27 03:10:00+02:00,267736578,281708790
2021-05-27 03:15:00+02:00,245422069,258476221
2021-05-27 03:20:00+02:00,247854667,269920711
2021-05-27 03:25:00+02:00,259803129,275665782
2021-05-27 03:30:00+02:00,256296725,279480094
2021-05-27 03:35:00+02:00,243390716,253549784
2021-05-27 03:40:00+02:00,275439378,296123750
2021-05-27 03:45:00+02:00,241093943,254266801
2021-05-27 03:50:00+02:00,253994641,267091731
2021-05-27 03:55:00+02:00,292413094,320894681
2021-05-27 04:00:00+02:00,303642190,334209794
2021-05-27 04:05:00+02:00,298658036,333808567
2021-05-27 04:10:00+02:00,286367127,335377365
2021-05-27 04:15:00+02:00,242795483,253250586
2021-05-27 04:20:00+02:00,248921489,265352450
2021-05-27 04:25:00+02:00,251462411,276112612
2021-05-27 04:30:00+02:00,239812792,265340166
2021-05-27 04:35:00+02:00,238585474,273164785
2021-05-27 04:40:00+02:00,246390845,295764762
2021-05-27 04:45:00+02:00,230561495,264347699
2021-05-27 04:50:00+02:00,227982648,267878872
2021-05-27 04:55:00+02:00,225534185,265345650
2021-05-27 05:00:00+02:00,224860930,270752619
2021-05-27 05:05:00+02:00,248588986,308721000
2021-05-27 05:10:00+02:00,266428267,312617416
2021-05-27 05:15:00+02:00,247753804,290683697
2021-05-27 05:20:00+02:00,226268585,277602737
2021-05-27 05:25:00+02:00,219972621,259640202
2021-05-27 05:30:00+02:00,216560252,247857839
2021-05-27 05:35:00+02:00,216591376,246595548
2021-05-27 05:40:00+02:00,217463076,250625318
2021-05-27 05:45:00+02:00,218577209,252360685
2021-05-27 05:50:00+02:00,223812308,254549169
2021-05-27 05:55:00+02:00,236813208,273725470
2021-05-27 06:00:00+02:00,216661966,241379573
2021-05-27 06:05:00+02:00,224350704,257840254
2021-05-27 06:10:00+02:00,231734168,261676568
2021-05-27 06:15:00+02:00,234633525,267211146
2021-05-27 06:20:00+02:00,237150868,264617522
2021-05-27 06:25:00+02:00,244670860,285908198
2021-05-27 06:30:00+02:00,229448969,263124909
2021-05-27 06:35:00+02:00,235726560,266951125
2021-05-27 06:40:00+02:00,241440968,285927806
2021-05-27 06:45:00+02:00,234268547,275032590
2021-05-27 06:50:00+02:00,238611924,281074961
2021-05-27 06:55:00+02:00,234001222,273681461
2021-05-27 07:00:00+02:00,226788156,265601899
2021-05-27 07:05:00+02:00,235583832,279969185
2021-05-27 07:10:00+02:00,235646330,284025052
2021-05-27 07:15:00+02:00,248801677,304056914
2021-05-27 07:20:00+02:00,242208064,293007132
2021-05-27 07:25:00+02:00,258401029,312309574
2021-05-27 07:30:00+02:00,279086930,352802249
2021-05-27 07:35:00+02:00,294537645,382628663
2021-05-27 07:40:00+02:00,248237227,298993723
2021-05-27 07:45:00+02:00,247840442,301319409
2021-05-27 07:50:00+02:00,246085773,291449201
2021-05-27 07:55:00+02:00,248111969,297648808
2021-05-27 08:00:00+02:00,228112180,270395275
2021-05-27 08:05:00+02:00,232858221,266554453
2021-05-27 08:10:00+02:00,229624394,279739263
2021-05-27 08:15:00+02:00,221163670,256479059
2021-05-27 08:20:00+02:00,214021448,242435490
2021-05-27 08:25:00+02:00,213126839,246438332
2021-05-27 08:30:00+02:00,220651047,248159604
2021-05-27 08:35:00+02:00,228366557,255886124
2021-05-27 08:40:00+02:00,220156337,254312600
2021-05-27 08:45:00+02:00,232614930,268686350
2021-05-27 08:50:00+02:00,241770891,289665643
2021-05-27 08:55:00+02:00,250998749,292184486
2021-05-27 09:00:00+02:00,217659200,246881473
2021-05-27 09:05:00+02:00,212680403,234538202
2021-05-27 09:10:00+02:00,216848646,243119572
2021-05-27 09:15:00+02:00,223051212,256062580
2021-05-27 09:20:00+02:00,235318390,272996153
2021-05-27 09:25:00+02:00,217809358,258879981
2021-05-27 09:30:00+02:00,216491601,268628039
2021-05-27 09:35:00+02:00,203447555,249737052
2021-05-27 09:40:00+02:00,206444510,241923890
2021-05-27 09:45:00+02:00,204572242,241211342
2021-05-27 09:50:00+02:00,211561120,275067171
2021-05-27 09:55:00+02:00,200733883,239035036
2021-05-27 10:00:00+02:00,225090789,264170945
2021-05-27 10:05:00+02:00,262179928,341569274
2021-05-27 10:10:00+02:00,217372786,256230392
2021-05-27 10:15:00+02:00,215425340,255153009
2021-05-27 10:20:00+02:00,227687566,279339660
2021-05-27 10:25:00+02:00,201784745,240839317
2021-05-27 10:30:00+02:00,208923873,256350488
2021-05-27 10:35:00+02:00,209595922,241490180
2021-05-27 10:40:00+02:00,215706834,259645759
2021-05-27 10:45:00+02:00,201682388,232499319
2021-05-27 10:50:00+02:00,205280527,252393749
2021-05-27 10:55:00+02:00,211805633,263257992
2021-05-27 11:00:00+02:00,219314335,267923035
2021-05-27 11:05:00+02:00,216542340,266888908
2021-05-27 11:10:00+02:00,204878719,245634168
2021-05-27 11:15:00+02:00,197931135,242836774
2021-05-27 11:20:00+02:00,202221501,243585616
